# tic_id,sector,outburst,flare,tpeak,tpeak_ll,tpeak_ul,ampl,ampl_ll,ampl_ul,fwhm,fwhm_ll,fwhm_ul,duration,duration_ll,duration_ul,bol_energy,bol_energy_ll,bol_energy_ul,M_CME,M_CME_ll,M_CME_ul,tessmag,teff,radius,logg,type,tess_rot,kelt_rot,rot,FFD_alpha,FFD_beta,preb_chem,ozone_depl_cons,ozone_depl_perm
139804406,1,1,1,2458328.061,6.86E-05,5.7E-05,0.288565767,0.05265712,0.064600903,0.001139959,0.000280696,0.0004029,0.019450195,0.014036807,0.027443608,1.1E+32,1.14E+31,1.51E+31,1.66E+19,1.42E+19,1.31E+20,13.42599964,2988,0.162,5.12319994,M4.5-M10,0.457,nan,0.457,-1.507672067,46.86718524,0,0,0
139804696,1,1,1,2458329.817,0.001630231,0.00268738,0.019237233,0.004401172,0.005431088,0.025631949,0.008391211,0.022680092,0.180578472,0.104847715,0.285799525,2.01E+32,5.6E+31,1.26E+32,2.56E+19,2.35E+19,5.56E+20,12.47399998,3043,nan,nan,M4.5-M10,0.881,nan,0.881,-0.986464654,30.91092319,0,0,0
139914420,1,1,1,2458350.889,0.000368149,0.000422677,0.122649094,0.013156885,0.013846401,0.007559134,0.001551061,0.001771398,0.10530772,0.081147478,0.133721337,8.54E+32,1.54E+32,2.1E+32,4.34E+19,4.2E+19,6.82E+20,12.37300014,3133,nan,nan,M0-M4.5,nan,nan,nan,nan,nan,0,0,0
139984208,1,1,1,2458331.08,8.94E-05,0.000100776,0.078652738,0.00425567,0.004392917,0.003717695,0.000339273,0.000367141,0.045620456,0.040757074,0.05095051,3.3E+32,1.57E+31,2.39E+31,2.63E+19,2.36E+19,3.34E+20,11.99800014,3175,nan,nan,M0-M4.5,nan,nan,nan,-2.206987766,70.32444485,0,0,0
139990632,1,1,1,2458344.203,0.000135291,0.000129057,0.27274231,0.020333403,0.022072277,0.003019118,0.000401348,0.000471609,0.050900509,0.043407101,0.059830598,1.99E+32,2.54E+31,1.81E+31,4.57E+19,4.26E+19,4.96E+20,14.39999962,2930,0.148,5.14712,M4.5-M10,0.241,nan,0.241,nan,nan,0,0,0
139996019,1,1,1,2458333.306,8.72E-05,9.65E-05,0.054684445,0.002695575,0.002890529,0.003170572,0.000292414,0.000314582,0.034627013,0.030890309,0.038727054,3.96E+33,2.65E+32,3.09E+32,2.37E+20,2.2E+20,2.74E+21,11.19799995,3997,0.64219099,4.61835003,FGK,nan,nan,nan,nan,nan,0,0,0
140045537,1,1,1,2458328.518,0.000109987,0.000128409,9.221950866,0.627711274,0.760723948,0.002703696,0.000584693,0.000618608,0.079787465,0.061993953,0.098987657,8.33E+37,1.83E+37,1.62E+37,1.52E+23,1.49E+23,1.62E+24,14.36900043,8071,2.06718993,4.09952021,FGK,nan,nan,nan,-2.099659857,78.63380336,1,1,1
140045538,1,1,1,2458325.38,8.1E-05,7.65E-05,0.022589784,0.000993383,0.000982501,0.005926892,0.00032631,0.000320807,0.04528712,0.041860419,0.048727154,1.5E+33,9.91E+31,1.05E+32,9.3E+19,8.52E+19,1.01E+21,8.14000034,3494,0.61500001,4.66550016,M0-M4.5,nan,nan,nan,-0.799449015,25.87994608,0,0,0
140859822,1,1,1,2458325.512,3.01E-05,3.1E-05,0.207377881,0.037902376,0.04248613,0.000475209,9.94E-05,0.000142138,0.007540075,0.005686724,0.010210102,8.53E+31,6.82E+30,8.52E+30,1.56E+19,1.5E+19,2.25E+20,12.06799984,3186,0.234,5.02428007,M0-M4.5,0.414,nan,0.414,-0.722581844,22.58352728,0,0,0
141212720,1,1,1,2458351.202,9.4E-05,9.67E-05,0.238214943,0.022014826,0.031744075,0.000777186,0.000120216,0.000119894,0.012723461,0.010526772,0.015090151,1.5E+32,7.91E+30,8.38E+30,3.46E+19,3.34E+19,4.89E+20,12.10299969,3133,nan,nan,M0-M4.5,nan,nan,nan,-0.647411264,19.56306211,0,0,0
